DCSname,uuid,CATss,CAT
Ski/Boots/Liner',5a7ec962-9aa7-4ef2-a63d-7146d7a115c2,"Skiing > Training, Accessories, Backcountry & Other > Other","Ski/Accessory',"
Ski/Boots/Mens',"	22b5b42a-68c3-4927-9f93-fde549898a5d",Skiing > Boots > Downhill Boots,"Ski/Boots/Men',"
Ski/Boots/Parts',"	22b5b42a-68c3-4927-9f93-fde549898a5d",Skiing > Boots > Downhill Boots,"Ski/Boots/Parts',"
Ski/Boots/Womens',"	22b5b42a-68c3-4927-9f93-fde549898a5d",Skiing > Boots > Downhill Boots,"Ski/Boots/Women',"
Ski/Boots/Youth',"	22b5b42a-68c3-4927-9f93-fde549898a5d",Skiing > Boots > Downhill Boots,"Ski/Boots/Youth',"
Ski/Poles/Accessory',5a7ec962-9aa7-4ef2-a63d-7146d7a115c2,"Skiing > Training, Accessories, Backcountry & Other > Other","Ski/Accessory',"
Ski/Poles/Adult',456d28fa-a3bd-4d98-aa7b-6cd43ff03fe9,Skiing > Poles,"Ski/Poles/Adult',"
Ski/Poles/Baskets',5a7ec962-9aa7-4ef2-a63d-7146d7a115c2,"Skiing > Training, Accessories, Backcountry & Other > Other","Ski/Accessory',"
Ski/Poles/Youth',456d28fa-a3bd-4d98-aa7b-6cd43ff03fe9,Skiing > Poles,"Ski/Poles/Youth',"
Ski/Skis/Men,19d750c7-bc15-431c-bb83-e647ceab40ce,Skiing > Skis > Downhill Skis,
Ski/Skis/Women,19d750c7-bc15-431c-bb83-e647ceab40ce,Skiing > Skis > Downhill Skis,
Ski/Skis/Youth,19d750c7-bc15-431c-bb83-e647ceab40ce,Skiing > Skis > Downhill Skis,
Ski/Socks/Adult',b3d547e7-2f1f-424b-bb3b-00268a0b2298,Skiing > Apparel & Outerwear > Ski Socks,"Ski/Socks/Adult',"
Ski/Socks/Youth',b3d547e7-2f1f-424b-bb3b-00268a0b2298,Skiing > Apparel & Outerwear > Ski Socks,"Ski/Socks/Youth',"
Ski/Tune/Wax',8f6bf410-7893-4b97-8c15-98197111ce73,"Skiing > Training, Accessories, Backcountry & Other > Tuning & Wax","Ski/Accessory',"
Ski/Tuning/Tool',8f6bf410-7893-4b97-8c15-98197111ce73,"Skiing > Training, Accessories, Backcountry & Other > Tuning & Wax","Ski/Accessory',"
Ski/X-Country/Bindings',9e436858-26ca-41ae-9206-e9fa90691172,Skiing > Bindings > Cross Country Bindings,"Ski/Accessory',"
Ski/X-Country/Boots',57f1aff4-8ffc-48d8-a524-057a1cb15699,Skiing > Boots > Cross Country Boots,"Ski/Accessory',"
Ski/X-Country/Skis',1b803ee2-b6b2-4e1e-94dd-7632586ec296,Skiing > Skis > Cross Country Skis,"Ski/Accessory',"
Snowboard/Accessory',cfd33ce4-7b67-4005-a639-100eea0ffd09,"Snowboarding > Training, Accessories, Backcountry & Other > Other","Snowboard/Accessory',"
Snowboard/Bags/Backpack',76e7a978-fb06-42dd-990e-30fbef5876e2,Snowboarding > Bags & Packs > Backpacks,"Snowboard/Bags/Backpack',"
Snowboard/Bags/Board Bag',84e9eb0f-225e-46a8-b1c0-9373782bc5e7,Snowboarding > Bags & Packs > Board Bags,"Snowboard/Bags/Board',"
Snowboard/Bags/Outerwear/',,,"Snowboard/Bags/Outerwear/',"
Snowboard/Bags/Travel',84e9eb0f-225e-46a8-b1c0-9373782bc5e7,Snowboarding > Bags & Packs > Board Bags,"Snowboard/Bags/Travel',"
Snowboard/Bags/Wheel',84e9eb0f-225e-46a8-b1c0-9373782bc5e7,Snowboarding > Bags & Packs > Board Bags,"Snowboard/Bags/Wheel',"
Snowboard/Bindings/Unisex',969bd132-640f-4eed-bf89-f70603a9b8fc,Snowboarding > Bindings,"Snowboard/Bindings/Adult',"
Snowboard/Bindings/Women',969bd132-640f-4eed-bf89-f70603a9b8fc,Snowboarding > Bindings,"Snowboard/Bindings/Women',"
Snowboard/Bindings/Youth',969bd132-640f-4eed-bf89-f70603a9b8fc,Snowboarding > Bindings,"Snowboard/Bindings/Youth',"
Snowboard/Board/Mens',7fb07d0d-29b9-48ea-84ab-b91c1cb97c5b,Snowboarding > Snowboards,"Snowboard/Board/Men',"
Snowboard/Board/Womens',7fb07d0d-29b9-48ea-84ab-b91c1cb97c5b,Snowboarding > Snowboards,"Snowboard/Board/Women',"
Snowboard/Board/Youth',7fb07d0d-29b9-48ea-84ab-b91c1cb97c5b,Snowboarding > Snowboards,"Snowboard/Board/Youth',"
Snowboard/Boots/Mens',12567e95-a363-4a96-9289-1e9a194bff17,Snowboarding > Boots,"Snowboard/Boots/Men',"
