dcsname,uuid,cat
snowboard/bags/travel,84e9eb0f-225e-46a8-b1c0-9373782bc5e7,Snowboarding > Bags & Packs > Board Bags
snowboard/bags/wheel,84e9eb0f-225e-46a8-b1c0-9373782bc5e7,Snowboarding > Bags & Packs > Board Bags
snowboard/bindings/unisex,969bd132-640f-4eed-bf89-f70603a9b8fc,Snowboarding > Bindings
snowboard/bindings/women,969bd132-640f-4eed-bf89-f70603a9b8fc,Snowboarding > Bindings
snowboard/bindings/youth,969bd132-640f-4eed-bf89-f70603a9b8fc,Snowboarding > Bindings
snowboard/board/mens,7fb07d0d-29b9-48ea-84ab-b91c1cb97c5b,Snowboarding > Snowboards
snowboard/board/womens,7fb07d0d-29b9-48ea-84ab-b91c1cb97c5b,Snowboarding > Snowboards
snowboard/board/youth,7fb07d0d-29b9-48ea-84ab-b91c1cb97c5b,Snowboarding > Snowboards
snowboard/boots/mens,12567e95-a363-4a96-9289-1e9a194bff17,Snowboarding > Boots
snowboard/boots/womens,12567e95-a363-4a96-9289-1e9a194bff17,Snowboarding > Boots
snowboard/boots/youth,12567e95-a363-4a96-9289-1e9a194bff17,Snowboarding > Boots
snowboard/socks/adult,743ba06a-8f4d-4fa2-9b4a-7e9cdfc05e06,Snowboarding > Apparel & Outerwear > Socks
snowboard/socks/youth,743ba06a-8f4d-4fa2-9b4a-7e9cdfc05e06,Snowboarding > Apparel & Outerwear > Socks
stupid/misc/crap,,
wakeboard/accessory,9f2840e8-4509-4867-8831-b20c11b7226a,"Outdoors > Surf, Wake & Water Sports > Accessories"
wakeboard/bags,,
wakeboard/board/mens,6893ecd3-c093-493f-a350-86586b5790e9,"Surf, Wake & Water Sports > Boards > Wakeboards"
wakeboard/boots/unisex,,
wakeboard/boots/womens,,
wakeboard/packages/unisex,6893ecd3-c093-493f-a350-86586b5790e9,"Surf, Wake & Water Sports > Boards > Wakeboards"
wakeboard/packages/womens,6893ecd3-c093-493f-a350-86586b5790e9,"Surf, Wake & Water Sports > Boards > Wakeboards"
wakeboard/packages/youth,6893ecd3-c093-493f-a350-86586b5790e9,"Surf, Wake & Water Sports > Boards > Wakeboards"
wakeboard/surf/accessory,9f2840e8-4509-4867-8831-b20c11b7226a,"Outdoors > Surf, Wake & Water Sports > Accessories"
wakeboard/surf/bag,,
wakeboard/wakeskate,,
wakeboard/wakesurfs,,
watersport/kneeboard/board,,
watersport/rashguard/mens,c93138b0-7113-4534-aa0b-60ae49537ae1,"Outdoors > Surf, Wake & Water Sports > Wetsuits & Rashguards"
watersport/rashguard/womens,c93138b0-7113-4534-aa0b-60ae49537ae1,"Outdoors > Surf, Wake & Water Sports > Wetsuits & Rashguards"
watersport/ski/accessory,9f2840e8-4509-4867-8831-b20c11b7226a,"Outdoors > Surf, Wake & Water Sports > Accessories"
watersport/ski/bag,,
watersport/ski/bindings,e58e280b-8741-4621-ae41-6b9cf5bc2aca,"Surf, Wake & Water Sports > Bindings > Water Ski Bindings"
watersport/ski/combo,a0d7e5fc-a91e-4579-b36e-324e18c723e3,"Surf, Wake & Water Sports > Water Skis"
watersport/ski/handle,,
watersport/ski/single,,
watersport/towable/accessory,9f2840e8-4509-4867-8831-b20c11b7226a,"Outdoors > Surf, Wake & Water Sports > Accessories"
watersport/towable/tube,,
watersport/wetsuit/mens,c93138b0-7113-4534-aa0b-60ae49537ae1,"	Outdoors > Surf, Wake & Water Sports > Wetsuits & Rashguards"
watersport/wetsuit/womens,c93138b0-7113-4534-aa0b-60ae49537ae1,"	Outdoors > Surf, Wake & Water Sports > Wetsuits & Rashguards"
watersport/wetsuit/youth,c93138b0-7113-4534-aa0b-60ae49537ae1,"Outdoors > Surf, Wake & Water Sports > Wetsuits & Rashguards"
winter/equipment,,
women/outerwear/suit,,
womens/baselayer/bottom,bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers
womens/baselayer/suit,bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers
womens/baselayer/top,bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers
womens/lifestyle/accessory,c56cd2dc-3e19-430c-ae53-3007408d4040,Apparel > Other
womens/lifestyle/dress,,
womens/lifestyle/jacket,ef55e795-41f6-4132-8580-630409e6a158,Apparel > Jackets & Coats
womens/lifestyle/jumpsuit,,
womens/lifestyle/pants,72427126-4874-48eb-a31c-29ee1a7b7a3b,Apparel > Pants
womens/lifestyle/shoes,0afa7c6e-08da-4654-875e-f38e3e63be62,"Footwear > Turfs, Indoor, Sneakers & Training"
womens/lifestyle/shorts,4ead05ea-264a-487b-800a-e60255bf109f,Apparel > Shorts
womens/lifestyle/top,42b1a293-c06b-4b44-b0b9-04f49e809e57,Apparel > Shirts
womens/midlayer,16a1a4eb-882b-4563-b4bd-285add085a39,Apparel > Base Layers & Compression
womens/outerwear/gloves,d962d3d4-623c-4b43-8324-d7d4aa69466d,Skiing > Apparel & Outerwear > Gloves & Mittens
womens/outerwear/jacket,c101d61d-eaeb-4b55-af1b-6d4c42f6d942,Skiing > Apparel & Outerwear > Jackets & Coats
womens/outerwear/mittens,d962d3d4-623c-4b43-8324-d7d4aa69466d,Skiing > Apparel & Outerwear > Gloves & Mittens
womens/outerwear/pants,72427126-4874-48eb-a31c-29ee1a7b7a3b,Apparel > Pants
womens/swimwear,b206bbc5-7ee6-4a3d-9d9f-2f3cb6cb8449,Apparel > Swimsuits
youth/baselayer/bottom,bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers
youth/baselayer/suit,bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers
youth/baselayer/top,bafa1091-fb7f-4f77-95cc-ea0e288897d6,Skiing > Apparel & Outerwear > Base Layers
youth/outerwear/gloves,d962d3d4-623c-4b43-8324-d7d4aa69466d,Skiing > Apparel & Outerwear > Gloves & Mittens
youth/outerwear/jacket,c101d61d-eaeb-4b55-af1b-6d4c42f6d942,Skiing > Apparel & Outerwear > Jackets & Coats
youth/outerwear/mittens,d962d3d4-623c-4b43-8324-d7d4aa69466d,Skiing > Apparel & Outerwear > Gloves & Mittens
youth/outerwear/pants,72427126-4874-48eb-a31c-29ee1a7b7a3b,Apparel > Pants
clearance/climbing,,
clearance/headwear,,
clearance/water sports,,
clearance/outerwear,,
clearance/headwear,,
clearance/ski,,
clearance/ski/bindings,89bc2302-30cc-4da7-af5c-b5eeda4caf4c,Skiing > Bindings > Downhill Bindings
clearance/ski/boots,"	22b5b42a-68c3-4927-9f93-fde549898a5d",Skiing > Boots > Downhill Boots
clearance/ski,,
clearance/ski/youth,,
clearance/snowboard,,
clearance/snowboard/boots,12567e95-a363-4a96-9289-1e9a194bff17,Snowboarding > Boots
clearance/snowboard,,
clearance/snowboard/youth,,
clearance/snowshoe,,
clearance/snowshoe/youth,,
clearance/sup,,
clearance/water sports,,
clearance/x-country,,
